sample,total_reward,mean_continue,decodes
0,452.220,0.132,
1,304.194,0.357,
2,326.618,0.172,
3,451.729,0.131,
4,-7.407,0.443,
5,325.920,0.172,
6,158.848,0.269,
7,4.450,0.980,
8,240.480,0.972,yes
9,240.480,0.972,yes
10,4.450,0.980,
11,326.795,0.173,
12,159.446,0.270,
13,-6.704,0.444,
14,4.450,0.980,
15,304.800,0.357,
16,4.450,0.980,
17,326.654,0.172,
18,452.448,0.131,
19,-7.155,0.443,
20,240.480,0.972,yes
21,240.480,0.972,yes
22,303.799,0.357,
23,158.819,0.270,
24,4.450,0.980,
25,-7.238,0.444,
26,240.480,0.972,yes
27,159.316,0.270,
28,240.480,0.972,yes
29,159.741,0.269,
30,453.065,0.131,
31,4.450,0.980,
32,-407.032,0.180,
33,240.480,0.972,yes
34,240.480,0.972,yes
35,304.534,0.357,
36,451.966,0.132,
37,4.450,0.980,
38,-408.386,0.180,
39,303.760,0.357,
40,-408.018,0.180,
41,159.114,0.269,
42,-407.940,0.180,
43,4.450,0.980,
44,159.289,0.269,
45,326.702,0.172,
46,-406.804,0.180,
47,4.450,0.980,
48,240.480,0.972,yes
49,452.690,0.132,
50,-7.010,0.444,
51,4.450,0.980,
52,4.450,0.980,
53,-407.826,0.180,
54,-7.366,0.443,
55,303.844,0.356,
56,240.480,0.972,yes
57,451.626,0.131,
58,159.086,0.269,
59,-7.288,0.444,
60,304.221,0.357,
61,304.316,0.358,
62,240.480,0.972,yes
63,327.273,0.173,
